Timestamp,Store,Method,Payout
10/31/2019 22:32:38,D,Murder,1006
10/31/2019 22:36:41,E,Murder,1241
10/31/2019 22:40:41,A,Murder,1258
10/31/2019 22:44:35,D,Murder,1184
11/2/2019 13:04:44,B,Hold Up (Intimidation Accelerated),1042
11/3/2019 9:57:55,B,Murder,997
11/22/2019 22:30:24,B,Hold Up (Intimidation Accelerated),1703
11/22/2019 22:34:53,A,Murder,1120
11/22/2019 22:39:46,B,Murder,1244
11/22/2019 22:43:31,A,Hold Up (Intimidation Accelerated),1520
11/22/2019 22:47:39,C,Hold Up (Intimidation Accelerated),1227
11/22/2019 22:53:28,B,Murder,1241
11/22/2019 22:58:22,A,Murder,1201
11/22/2019 23:10:13,B,Hold Up (Intimidation Accelerated),1044
11/22/2019 23:14:57,C,Murder,1740
11/22/2019 23:16:31,B,Murder,1092
11/22/2019 23:20:21,A,Murder,1018
11/22/2019 23:24:16,A,Hold Up (Intimidation Accelerated),1407
11/22/2019 23:27:15,G,Hold Up (Intimidation Accelerated),1093
11/22/2019 23:31:17,A,Murder,1090
11/22/2019 23:36:11,B,Hold Up (Intimidation Accelerated),1053
11/22/2019 23:40:05,D,Murder,1200
11/22/2019 23:44:15,E,Murder,1146
11/22/2019 23:52:29,C,Murder,1097
11/22/2019 23:56:24,A,Murder,1052
11/22/2019 23:59:32,B,Murder,1207
11/23/2019 0:02:32,D,Murder,1157
11/23/2019 0:06:47,A,Murder,945
11/23/2019 0:10:20,B,Murder,1162
11/23/2019 0:13:18,D,Murder,1087
11/23/2019 0:24:21,A,Murder,1294
11/23/2019 0:26:57,B,Hold Up (Intimidation Accelerated),1579
11/23/2019 0:31:17,C,Murder,1107
11/23/2019 0:34:35,G,Hold Up (Intimidation Accelerated),1130
11/23/2019 0:37:17,A,Hold Up (Intimidation Accelerated),1217
11/23/2019 0:41:21,C,Hold Up (Intimidation Accelerated),1323
11/23/2019 0:45:34,G,Murder,1180
